CATEGORIA,NOMBRE,PORTADA,LINK
LIBROS,"1. SAGAN, CARL - COSMOS",https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D0Bxx9eEGMno8NNTg5NGM5NzUtYWEyZC00ZDk1LWE4MzUtMDA4YzA2ODRlYjgx%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/0Bxx9eEGMno8NNTg5NGM5NzUtYWEyZC00ZDk1LWE4MzUtMDA4YzA2ODRlYjgx/view?resourcekey=0-qm9IIm7DKi-e0swv9IiT1Q
LIBROS,2. EL MUNDO Y SUS DEMONIOS (CARL SAGAN),https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D0B9Q9WkNesQGlNGZkZmQ3ZDYtNDA4Ny00MTM2LTg2YTItNzlhNDEwYTQzNThl%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/0B9Q9WkNesQGlNGZkZmQ3ZDYtNDA4Ny00MTM2LTg2YTItNzlhNDEwYTQzNThl/view?resourcekey=0-c0gWoSHUEmTKDQG6OMHY1Q
CIENCIAS,3. CARL-SAGAN-LA-DIVERSIDAD-DE-LA-CIENCIA UNA BUSQUEDA,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1PNAvC79xcup3JtcvLJ4q6N1jvGSVVD55%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1PNAvC79xcup3JtcvLJ4q6N1jvGSVVD55/view
LIBROS,4. EL CLUB DE LAS  DE LA MAÑANA,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D11NZ7kBqmhL3rhHAQqapErZlGwh6y7PK5%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/11NZ7kBqmhL3rhHAQqapErZlGwh6y7PK5/view?fbclid=IwY2xjawLru8tleHRuA2FlbQIxMABicmlkETFGcm5aTHBZTEZlVkVEd3J4AR6REDqtD_Ff74CWdHBL4_7J7LcVVTBSdlGXLfgwOmYpu8-ymaemvnas3fj40A_aem_egT2kVCOVIfsf6z0LkgGKg
ESPIRITUALES,5. LAS  LEYES ESPIRITUALES DEL ÉXITO,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D10tv2Y4n8a-xrxeTJ0vpzgu1LQDRhdvWV%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/10tv2Y4n8a-xrxeTJ0vpzgu1LQDRhdvWV/view?fbclid=IwY2xjawLrvElleHRuA2FlbQIxMABicmlkETFGcm5aTHBZTEZlVkVEd3J4AR45I6yBKKZIHhJNpVyagXq1DmYK7u1m6pLheUE1WoPwZhcmIPDSH9aMnkH4gA_aem_lyN26ZAuyv0A-jJ0W0xHeQ
PSICOLOGIA,6. DEJA DE SER TÚ,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1H3L-EEPHszkik6S6LV-XckTkUGWZR1Xu%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1H3L-EEPHszkik6S6LV-XckTkUGWZR1Xu/view?fbclid=IwY2xjawLrw1VleHRuA2FlbQIxMABicmlkETFGcm5aTHBZTEZlVkVEd3J4AR4VE2Gk7vghXlFjYCtv4MXQfiztmUjKNJgVxvkCkzD61WcfJXmkufJYNCO0_g_aem_VvtxAeTUz4hQl1ZMsvQl1A
PSICOLOGIA,7. EL JUEGO DE LA ATENCIÓN  #PSICOLOGIA,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1OPSdX2UXz-XSQPszg99HMDDbfRW7uqYJ%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1OPSdX2UXz-XSQPszg99HMDDbfRW7uqYJ/view?fbclid=IwY2xjawLrxAZleHRuA2FlbQIxMABicmlkETFGcm5aTHBZTEZlVkVEd3J4AR5Yv2ewNzFU07Z2Y3nQBdfZ69z10juZExYkleZb4ah8427otWBqmMHa7uUlEQ_aem_S8e6eezL-D7323cR9OQhoQ
PSICOLOGIA,"8. DE NEURONAS, EMOCIONES Y MOTIVACIONES / HERMINIA PASANTES",https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1Qe_VmXxYB_raCiNk5_W64UxfFr0dw3fh%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1Qe_VmXxYB_raCiNk5_W64UxfFr0dw3fh/edit?fbclid=IwY2xjawLrxHpleHRuA2FlbQIxMABicmlkETFGcm5aTHBZTEZlVkVEd3J4AR4VE2Gk7vghXlFjYCtv4MXQfiztmUjKNJgVxvkCkzD61WcfJXmkufJYNCO0_g_aem_VvtxAeTUz4hQl1ZMsvQl1A
LIBROS,9. DE NIÑO QUEBRANTADO A HOMBRE RESTAURADO,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1EFr-RB3Fac8lNLb2wVsw2lcxze9nka7g%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1EFr-RB3Fac8lNLb2wVsw2lcxze9nka7g/view?fbclid=IwY2xjawLrxN1leHRuA2FlbQIxMABicmlkETFGcm5aTHBZTEZlVkVEd3J4AR4H3h0JwoK6cjRV0C8YQb3m6-2nIBAmG1XNasD02uMTKGbDxhoE0qXMk3080Q_aem_XufZHXpld_6222Ahn5SlTg
LIBROS,10. PERDONES,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D101iNXV7P9-s72my_Je72EsqW2LAraVQT%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/101iNXV7P9-s72my_Je72EsqW2LAraVQT/view?fbclid=IwY2xjawLrxWVleHRuA2FlbQIxMABicmlkETFGcm5aTHBZTEZlVkVEd3J4AR4VE2Gk7vghXlFjYCtv4MXQfiztmUjKNJgVxvkCkzD61WcfJXmkufJYNCO0_g_aem_VvtxAeTUz4hQl1ZMsvQl1A
